Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772020219,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772020220,100,,Aggregated,0.000000,0.000000,930,940,950,950,970,970,970,970,970,970,970,29,0,930.0,854.173033040595,628.3100000000559,970.8305000094697,322667.5862068966
1772020221,200,,Aggregated,0.000000,0.000000,1100,1200,1300,1300,1500,1700,1700,1800,1800,1800,1800,109,0,1100.0,1118.1946789019169,53.67020796984434,1776.1818749713711,288078.29357798165
1772020222,300,,Aggregated,0.000000,0.000000,1100,1200,1200,1300,1500,1700,1800,1800,1800,1800,1800,150,0,1100.0,1033.4220464085229,53.67020796984434,1846.308082982432,312556.52
1772020223,400,,Aggregated,15.500000,0.000000,1100,1200,1200,1300,1600,1800,2800,2900,3000,3000,3000,199,0,1100.0,1072.685216493254,53.67020796984434,2974.238874972798,331307.7738693467
1772020224,500,,Aggregated,36.333333,0.000000,1100,1300,1500,1700,2300,3500,3800,3900,4000,4000,4000,288,0,1100.0,1278.2912837240776,53.67020796984434,3953.9503330015577,325440.27777777775
1772020225,600,,Aggregated,37.500000,0.000000,1100,1300,1800,2000,3500,4300,4700,4800,5000,5000,5000,369,0,1100.0,1462.66999548026,53.67020796984434,4956.553667027038,337094.5420054201
1772020226,700,,Aggregated,40.400000,0.000000,1100,1300,1700,2000,3900,4700,5500,5800,5900,5900,5900,450,0,1100.0,1521.973005355879,53.67020796984434,5866.057041974273,333164.1088888889
1772020227,800,,Aggregated,48.333333,0.000000,1100,1500,1900,2500,4500,5500,6200,6500,6900,6900,6900,512,0,1100.0,1697.584011208619,53.67020796984434,6895.315750036389,364407.212890625
1772020228,900,,Aggregated,53.142857,0.000000,1200,1500,2000,3000,5000,6200,6400,6800,6900,6900,6900,590,0,1200.0,1855.983662752482,53.67020796984434,6918.6889579868875,352304.7254237288
1772020229,1000,,Aggregated,56.750000,0.000000,1300,1900,2800,3900,6200,7400,7800,7800,8000,8000,8000,690,24,1300.0,2211.4794924811367,53.67020796984434,8001.593667024281,341872.8507246377
1772020230,1000,,Aggregated,56.888889,0.000000,1500,2800,4700,6100,7800,7900,7900,7900,8900,8900,8900,858,110,1500.0,2845.7075717486114,53.67020796984434,8944.263333047275,298777.62004662
1772020231,1000,,Aggregated,59.300000,0.000000,1900,3900,6100,7300,7800,7900,7900,7900,9600,9800,9800,1024,181,1900.0,3200.1585736759353,53.67020796984434,9847.647374961525,282801.9365234375
1772020232,1000,,Aggregated,69.700000,2.400000,2500,4700,7100,7800,7800,7900,7900,8700,10000,11000,11000,1159,257,2500.0,3498.5961867504407,53.67020796984434,10604.346333013382,262803.4089732528
1772020233,1000,,Aggregated,83.000000,11.000000,2600,5800,7800,7800,7800,7900,7900,9300,11000,12000,12000,1281,326,2600.0,3722.5979780354796,53.67020796984434,11506.419749988709,254647.0281030445
1772020234,1000,,Aggregated,92.600000,18.100000,2700,6200,7800,7800,7800,7900,7900,9600,13000,13000,13000,1408,368,2700.0,3876.799312223122,53.67020796984434,12915.97712499788,252225.30610795456
1772020235,1000,,Aggregated,101.200000,25.700000,3500,7000,7800,7800,7900,7900,9300,10000,13000,14000,14000,1569,444,3500.0,4187.040096126964,53.67020796984434,13620.363792055286,249096.79349904397
1772020236,1000,,Aggregated,107.900000,32.600000,3800,7800,7800,7800,7900,7900,9600,12000,14000,15000,15000,1750,528,3800.0,4318.691820372265,53.67020796984434,14649.43166699959,240579.4782857143
1772020237,1000,,Aggregated,113.200000,36.800000,3900,7500,7800,7800,7900,7900,9700,13000,15000,15000,15000,1824,528,3800.0,4305.837928237839,53.67020796984434,15113.42833301751,243698.63541666666
1772020238,1000,,Aggregated,120.700000,44.400000,3900,7300,7800,7800,7900,7900,10000,13000,15000,15000,15000,1894,528,3900.0,4310.259545375317,53.67020796984434,15113.42833301751,247548.20380147835
1772020239,1000,,Aggregated,129.900000,52.800000,3900,7400,7800,7800,7900,8000,10000,13000,15000,16000,16000,1959,548,3900.0,4327.155471618011,53.67020796984434,15678.347291017417,254535.89280245022
1772020240,1000,,Aggregated,131.900000,52.800000,4100,7800,7800,7800,7900,9000,11000,13000,16000,18000,18000,2143,607,4100.0,4497.952963300703,53.67020796984434,18346.897582989186,244809.78674755016
1772020241,1000,,Aggregated,130.400000,52.800000,4600,7800,7800,7800,7900,9200,11000,13000,17000,18000,18000,2294,653,4500.0,4616.213348743775,53.67020796984434,18346.897582989186,239424.03574542285
1772020242,1000,,Aggregated,127.000000,52.500000,4600,7800,7800,7800,7900,9300,13000,14000,17000,18000,18000,2395,663,4600.0,4641.515476727835,53.67020796984434,18346.897582989186,239251.26889352818
1772020243,1000,,Aggregated,128.600000,49.700000,4700,7800,7800,7800,7900,9400,13000,15000,17000,18000,18000,2459,684,4700.0,4677.41971350709,53.67020796984434,18346.897582989186,243518.8918259455
1772020244,1000,,Aggregated,125.900000,47.200000,4800,7800,7800,7800,7900,9600,13000,15000,20000,20000,20000,2557,710,4800.0,4725.679588944255,53.67020796984434,20492.729332996532,243294.18615565114
1772020245,1000,,Aggregated,123.300000,40.600000,5000,7800,7800,7800,7900,9900,14000,15000,20000,20000,20000,2694,765,5000.0,4853.630110186904,53.67020796984434,20492.729332996532,240654.34187082405
1772020246,1000,,Aggregated,118.200000,35.800000,5100,7800,7800,7800,8500,11000,14000,15000,20000,20000,20000,2805,775,5100.0,5006.34536326723,53.67020796984434,20492.729332996532,241577.4705882353
1772020247,1000,,Aggregated,114.000000,34.200000,5300,7800,7800,7800,8900,11000,14000,15000,20000,25000,25000,2874,775,5300.0,5043.57750513339,53.67020796984434,25441.20037497487,241629.745302714
1772020248,1000,,Aggregated,112.300000,32.300000,5300,7800,7800,7800,9000,11000,14000,15000,20000,25000,25000,2913,775,5300.0,5055.698608567194,53.67020796984434,25441.20037497487,245156.18056985925
1772020249,1000,,Aggregated,105.900000,24.700000,5500,7800,7800,7800,9100,11000,15000,16000,22000,25000,25000,2947,775,5500.0,5104.311984053389,53.67020796984434,25441.20037497487,246732.1387852053
1772020250,1000,,Aggregated,104.300000,24.700000,5400,7800,7800,7800,9100,12000,15000,16000,23000,26000,26000,3000,775,5400.0,5102.455437876324,53.67020796984434,25604.948166990653,248665.05966666667
1772020251,1000,,Aggregated,101.700000,24.700000,5500,7800,7800,7800,9300,12000,15000,16000,22000,26000,26000,3099,775,5500.0,5170.285592141237,53.67020796984434,25604.948166990653,251207.0835753469
1772020252,1000,,Aggregated,98.500000,22.600000,5800,7800,7800,7900,9900,13000,15000,19000,27000,29000,29000,3190,775,5800.0,5411.835110437842,53.67020796984434,28979.443666990846,252039.07429467083
1772020253,1000,,Aggregated,85.500000,16.800000,5900,7800,7800,7900,11000,14000,17000,20000,29000,29000,29000,3283,775,5900.0,5606.966175426069,53.67020796984434,29122.381207998842,252780.83673469388
1772020254,1000,,Aggregated,81.100000,12.200000,6000,7800,7900,8500,11000,14000,17000,20000,29000,29000,29000,3422,775,6000.0,5791.8068865533,53.67020796984434,29122.43337504333,251257.5146113384
1772020255,1000,,Aggregated,79.500000,11.200000,6100,7800,7900,8600,12000,14000,18000,20000,29000,29000,29000,3506,775,6100.0,5850.244633140949,53.67020796984434,29122.43337504333,252117.67969195664
1772020256,1000,,Aggregated,82.500000,9.100000,6100,7800,7900,8700,12000,14000,18000,21000,29000,29000,29000,3583,775,6100.0,5941.980045131287,53.67020796984434,29122.43337504333,252762.45687970973
1772020257,1000,,Aggregated,86.000000,6.500000,6200,7800,7900,8800,12000,15000,18000,21000,29000,29000,29000,3654,775,6200.0,6009.851366789182,53.67020796984434,29122.43337504333,254416.8910782704
1772020258,1000,,Aggregated,80.400000,0.800000,6200,7800,8500,9000,13000,15000,19000,22000,29000,32000,32000,3756,775,6200.0,6114.5226367145015,53.67020796984434,32014.67500004219,256546.69808306708
1772020259,1000,,Aggregated,77.100000,0.000000,6200,7800,8500,9100,13000,15000,19000,22000,29000,32000,32000,3797,775,6200.0,6135.474082488682,53.67020796984434,32014.67500004219,257990.44034764287
1772020260,1000,,Aggregated,78.000000,0.000000,6300,7800,8600,9300,13000,15000,19000,22000,29000,32000,32000,3858,775,6300.0,6178.3265523257,53.67020796984434,32014.67500004219,261540.9937791602
1772020261,1000,,Aggregated,84.200000,0.000000,6600,7800,8700,9700,13000,16000,20000,24000,29000,35000,35000,3932,775,6600.0,6369.0415651804815,53.67020796984434,35200.69304201752,263206.92878942017
